"codigo_produto";"descricaoproduto";"codigo_marca";"codigo_grupo"
604900;SKU 604900;1;"130 "
605000;SKU 605000;1;"130 "
605300;SKU 605300;1;"500 "
605800;SKU 605800;1;"72  "
605900;SKU 605900;1;"500 "
606400;SKU 606400;362;"80  "
606700;SKU 606700;1;"500 "
606900;SKU 606900;1;"60  "
607600;SKU 607600;1;"70  "
607900;SKU 607900;1;"500 "
608100;SKU 608100;1;"130 "
609300;SKU 609300;1;"500 "
609900;SKU 609900;1;"80  "
234400;SKU 234400;1;"500 "
241000;SKU 241000;1;"46  "
610000;SKU 610000;234;OIAP
610100;SKU 610100;1;"500 "
610700;SKU 610700;1;"20  "
611300;SKU 611300;1;"500 "
611700;SKU 611700;1;"500 "
612400;SKU 612400;1;"500 "
613600;SKU 613600;1;"80  "
613900;SKU 613900;145;MCEB
614000;SKU 614000;11;"30  "
614900;SKU 614900;471;DAN 
615500;SKU 615500;1;"500 "
615700;SKU 615700;24;CH  
615800;SKU 615800;1;"180 "
615900;SKU 615900;1;"150 "
616000;SKU 616000;1;"80  "
616700;SKU 616700;1;"500 "
616800;SKU 616800;1;"500 "
617300;SKU 617300;29;"160 "
617500;SKU 617500;499;"72  "
617700;SKU 617700;76;"500 "
618000;SKU 618000;131;DSG 
618100;SKU 618100;50;OJS 
618200;SKU 618200;1;"20  "
618400;SKU 618400;303;"30  "
618500;SKU 618500;755;DCT 
618600;SKU 618600;1;"50  "
618700;SKU 618700;1;"500 "
618800;SKU 618800;1;TDV 
619000;SKU 619000;1;"50  "
619200;SKU 619200;1;"333 "
620200;SKU 620200;76;"30  "
620300;SKU 620300;1;DCT 
623600;SKU 623600;1;"80  "
623700;SKU 623700;1;"80  "
623900;SKU 623900;68;FFHT
2765901;SKU 2765901;945;SERV
624000;SKU 624000;68;FFHT
624100;SKU 624100;68;FFHT
631200;SKU 631200;44;CR  
2765902;SKU 2765902;945;SERV
2765903;SKU 2765903;945;SERV
2816201;SKU 2816201;968;SERV
253600;SKU 253600;29;"500 "
631600;SKU 631600;729;DDS 
631700;SKU 631700;26;"33  "
631900;SKU 631900;140;CSB 
632100;SKU 632100;1;"66  "
2765501;SKU 2765501;945;SERV
2765502;SKU 2765502;945;SERV
2765503;SKU 2765503;945;SERV
2765504;SKU 2765504;945;SERV
632200;SKU 632200;1;"60  "
632300;SKU 632300;1;"67  "
632700;SKU 632700;1;"500 "
633000;SKU 633000;68;MMS 
633100;SKU 633100;68;FFHT
633900;SKU 633900;1;"500 "
2816202;SKU 2816202;968;SERV
634000;SKU 634000;136;"24  "
634100;SKU 634100;1;"500 "
634300;SKU 634300;1;"500 "
634600;SKU 634600;1;"500 "
634700;SKU 634700;1;"500 "
2765904;SKU 2765904;945;SERV
635100;SKU 635100;1;"500 "
635300;SKU 635300;1;"80  "
635500;SKU 635500;1;"80  "
2765505;SKU 2765505;945;SERV
2765506;SKU 2765506;945;SERV
2765507;SKU 2765507;945;SERV
2765508;SKU 2765508;945;SERV
2765509;SKU 2765509;945;SERV
2765510;SKU 2765510;945;SERV
2765511;SKU 2765511;945;SERV
635600;SKU 635600;1;"30  "
2765512;SKU 2765512;945;SERV
2765513;SKU 2765513;945;SERV
635700;SKU 635700;1;"80  "
636000;SKU 636000;76;"500 "
2765514;SKU 2765514;945;SERV
2765515;SKU 2765515;945;SERV
2765516;SKU 2765516;945;SERV
636300;SKU 636300;1;"140 "
636400;SKU 636400;1;"500 "
2765517;SKU 2765517;945;SERV
636500;SKU 636500;1;"500 "
2765518;SKU 2765518;945;SERV
2765519;SKU 2765519;945;SERV
2765520;SKU 2765520;945;SERV
2765523;SKU 2765523;945;SERV
2816203;SKU 2816203;968;SERV
636600;SKU 636600;2;"500 "
636700;SKU 636700;1;"80  "
636800;SKU 636800;1;"80  "
636900;SKU 636900;1;"80  "
637000;SKU 637000;303;"30  "
2816204;SKU 2816204;968;SERV
2816205;SKU 2816205;968;SERV
2816206;SKU 2816206;968;SERV
2816207;SKU 2816207;968;SERV
2816208;SKU 2816208;968;SERV
248000;SKU 248000;1;EA  
283400;SKU 283400;1;"500 "
637300;SKU 637300;1;"130 "
2765905;SKU 2765905;945;SERV
637500;SKU 637500;1;"500 "
637700;SKU 637700;44;"3333"
637800;SKU 637800;1;"60  "
2765906;SKU 2765906;945;SERV
2765907;SKU 2765907;945;SERV
2765908;SKU 2765908;945;SERV
2765909;SKU 2765909;945;SERV
2765910;SKU 2765910;945;SERV
637900;SKU 637900;1;DAT 
638200;SKU 638200;1;"72  "
2765911;SKU 2765911;945;SERV
2765912;SKU 2765912;945;SERV
2765913;SKU 2765913;945;SERV
2765914;SKU 2765914;945;SERV
2765915;SKU 2765915;945;SERV
2765916;SKU 2765916;945;SERV
2765917;SKU 2765917;945;SERV
2765918;SKU 2765918;945;SERV
2765919;SKU 2765919;945;SERV
2765920;SKU 2765920;945;SERV
2765923;SKU 2765923;945;SERV
638900;SKU 638900;1;"500 "
639000;SKU 639000;1;"50  "
639200;SKU 639200;1;"40  "
639400;SKU 639400;1;"500 "
639700;SKU 639700;1;DUL 
639900;SKU 639900;1;"160 "
640400;SKU 640400;256;"74  "
2766302;SKU 2766302;946;SERV
2766303;SKU 2766303;946;SERV
2766304;SKU 2766304;946;SERV
2766305;SKU 2766305;946;SERV
2766306;SKU 2766306;946;SERV
640600;SKU 640600;729;DSG 
2766307;SKU 2766307;946;SERV
2766308;SKU 2766308;946;SERV
2766309;SKU 2766309;946;SERV
2766310;SKU 2766310;946;SERV
640700;SKU 640700;729;DSG 
640800;SKU 640800;217;"1   "
640900;SKU 640900;796;"66  "
2766311;SKU 2766311;946;SERV
641000;SKU 641000;1;"90  "
641200;SKU 641200;1;EA  
641500;SKU 641500;1;"60  "
641700;SKU 641700;296;DCT 
642200;SKU 642200;1;"500 "
642700;SKU 642700;1;"110 "
2691000;SKU 2691000;10;DLPL
2816209;SKU 2816209;968;SERV
264000;SKU 264000;1;"500 "
358900;SKU 358900;1;"80  "
643100;SKU 643100;76;"333 "
2766312;SKU 2766312;946;SERV
2766313;SKU 2766313;946;SERV
643200;SKU 643200;180;DLR 
2766314;SKU 2766314;946;SERV
643300;SKU 643300;1;"150 "
643400;SKU 643400;1;"500 "
643600;SKU 643600;14;"70  "
643700;SKU 643700;36;EMT 
643800;SKU 643800;1;DSG 
643900;SKU 643900;14;"67  "
644000;SKU 644000;1;"400 "
2766315;SKU 2766315;946;SERV
2766316;SKU 2766316;946;SERV
2766317;SKU 2766317;946;SERV
2766318;SKU 2766318;946;SERV
644200;SKU 644200;1;"70  "
644400;SKU 644400;1;"500 "
644500;SKU 644500;1;"500 "
2766319;SKU 2766319;946;SERV
644700;SKU 644700;1;"30  "
644800;SKU 644800;1;"30  "
644900;SKU 644900;145;"49  "
2766320;SKU 2766320;946;SERV
645000;SKU 645000;44;AP  
2766323;SKU 2766323;946;SERV
645300;SKU 645300;1;"500 "
645700;SKU 645700;1;"30  "
645900;SKU 645900;1;"500 "
646000;SKU 646000;1;"20  "
646100;SKU 646100;1;DCT 
646300;SKU 646300;118;ACT 
646400;SKU 646400;1;PAL 
646500;SKU 646500;195;PAL 
646600;SKU 646600;75;BAS 
647000;SKU 647000;1;DAL 
647100;SKU 647100;295;"19  "
647200;SKU 647200;303;"30  "
647300;SKU 647300;126;ROHO
647500;SKU 647500;50;"25  "
644100;SKU 644100;332;"400 "
644300;SKU 644300;42;DSA 
95600;SKU 95600;1;"42  "
647700;SKU 647700;120;"500 "
647800;SKU 647800;1;"90  "
648000;SKU 648000;1;"90  "
648100;SKU 648100;68;FFTP
648200;SKU 648200;1;HBI 
2692200;SKU 2692200;319;DDS 
648400;SKU 648400;1;HBI 
648500;SKU 648500;519;HBI 
648600;SKU 648600;587;HBI 
2692300;SKU 2692300;319;DDS 
648700;SKU 648700;1;"110 "
2739006;SKU 2739006;931;SERV
2739007;SKU 2739007;931;SERV
2739008;SKU 2739008;931;SERV
2739009;SKU 2739009;931;SERV
2739010;SKU 2739010;931;SERV
2739011;SKU 2739011;931;SERV
2739012;SKU 2739012;931;SERV
2739013;SKU 2739013;931;SERV
2739014;SKU 2739014;931;SERV
2739015;SKU 2739015;931;SERV
2739016;SKU 2739016;931;SERV
2739017;SKU 2739017;931;SERV
2739018;SKU 2739018;931;SERV
2739019;SKU 2739019;931;SERV
2739020;SKU 2739020;931;SERV
2739021;SKU 2739021;931;SERV
2739022;SKU 2739022;931;SERV
2739023;SKU 2739023;931;SERV
2739024;SKU 2739024;931;SERV
2739025;SKU 2739025;931;SERV
2739028;SKU 2739028;931;SERV
648900;SKU 648900;1;COLH
649000;SKU 649000;2;"130 "
649100;SKU 649100;1;"80  "
649200;SKU 649200;1;"20  "
649300;SKU 649300;24;"50  "
649400;SKU 649400;827;"30  "
649700;SKU 649700;303;"30  "
649800;SKU 649800;1;MEX 
649900;SKU 649900;1;"80  "
650000;SKU 650000;1;"80  "
650100;SKU 650100;1;"80  "
650400;SKU 650400;50;"500 "
650500;SKU 650500;50;"500 "
650600;SKU 650600;50;"500 "
650700;SKU 650700;50;"90  "
650900;SKU 650900;1;"500 "
651200;SKU 651200;1;"140 "
49000;SKU 49000;1;HBEI
251200;SKU 251200;1;"46  "
257200;SKU 257200;1;"500 "
263900;SKU 263900;1;"80  "
295900;SKU 295900;1;"500 "
651500;SKU 651500;1;"500 "
651800;SKU 651800;1;"500 "
652000;SKU 652000;2;"130 "
652100;SKU 652100;2;"130 "
652200;SKU 652200;1;"110 "
652300;SKU 652300;1;"80  "
652700;SKU 652700;44;"30  "
652900;SKU 652900;1;"80  "
653100;SKU 653100;1;"110 "
653200;SKU 653200;52;"60  "
653300;SKU 653300;1;"60  "
653400;SKU 653400;1;"500 "
653500;SKU 653500;105;"33  "
653700;SKU 653700;403;DSG 
654300;SKU 654300;1;DTLS
655400;SKU 655400;1;"30  "
655500;SKU 655500;1;EA  
657400;SKU 657400;827;"30  "
657600;SKU 657600;1;"500 "
658100;SKU 658100;1;"90  "
658200;SKU 658200;1;BAS 
658300;SKU 658300;1;"036 "
658400;SKU 658400;37;"80  "
658500;SKU 658500;22;"90  "
658600;SKU 658600;818;OFT 
660100;SKU 660100;1;OPJ 
660200;SKU 660200;1;"50  "
660600;SKU 660600;216;"20  "
660900;SKU 660900;1;EA  
661100;SKU 661100;1;EA  
661500;SKU 661500;729;"60  "
2692500;SKU 2692500;319;DDS 
661600;SKU 661600;217;APDP
2709300;SKU 2709300;109;"160 "
2765709;SKU 2765709;945;SERV
2709700;SKU 2709700;109;"37  "
2765710;SKU 2765710;945;SERV
2765711;SKU 2765711;945;SERV
2765712;SKU 2765712;945;SERV
2765713;SKU 2765713;945;SERV
2765714;SKU 2765714;945;SERV
2765715;SKU 2765715;945;SERV
2765716;SKU 2765716;945;SERV
2765717;SKU 2765717;945;SERV
2765718;SKU 2765718;945;SERV
2765719;SKU 2765719;945;SERV
2765720;SKU 2765720;945;SERV
2765723;SKU 2765723;945;SERV
8700;SKU 8700;166;"122 "
34100;SKU 34100;43;"110 "
38400;SKU 38400;1;"500 "
661700;SKU 661700;106;"1   "
661800;SKU 661800;16;ES  
662000;SKU 662000;113;"20  "
662100;SKU 662100;113;"20  "
662200;SKU 662200;18;"45  "
662300;SKU 662300;1;AP  
662500;SKU 662500;1;"70  "
662600;SKU 662600;327;"52  "
662700;SKU 662700;35;OCX 
662800;SKU 662800;49;JOA 
662900;SKU 662900;110;"0   "
663000;SKU 663000;195;"0   "
663100;SKU 663100;1;"500 "
663200;SKU 663200;195;OTH 
663300;SKU 663300;195;OTH 
663400;SKU 663400;1;OTH 
663500;SKU 663500;1;"160 "
663600;SKU 663600;1;"500 "
663800;SKU 663800;29;OTPO
663900;SKU 663900;1;"80  "
2765701;SKU 2765701;945;SERV
2765702;SKU 2765702;945;SERV
664300;SKU 664300;29;"160 "
664500;SKU 664500;29;"160 "
664700;SKU 664700;1;"31  "
664800;SKU 664800;50;"29  "
2765703;SKU 2765703;945;SERV
2765704;SKU 2765704;945;SERV
2765705;SKU 2765705;945;SERV
2765706;SKU 2765706;945;SERV
2765707;SKU 2765707;945;SERV
2765708;SKU 2765708;945;SERV
2723214;SKU 2723214;10;DLB 
2787600;SKU 2787600;319;DAL 
75200;SKU 75200;217;"1   "
111500;SKU 111500;1;"180 "
665100;SKU 665100;49;OM  
665200;SKU 665200;49;"500 "
665300;SKU 665300;49;OM  
665400;SKU 665400;49;OM  
665500;SKU 665500;49;OM  
665700;SKU 665700;49;OM  
665800;SKU 665800;49;OM  
665900;SKU 665900;35;FXA 
666000;SKU 666000;1;"500 "
666100;SKU 666100;1;"500 "
666200;SKU 666200;1;"500 "
666300;SKU 666300;50;MBB 
666400;SKU 666400;50;MBB 
666500;SKU 666500;1;"500 "
666600;SKU 666600;50;CER 
666800;SKU 666800;195;CER 
667000;SKU 667000;1;FXA 
667100;SKU 667100;1;"160 "
667300;SKU 667300;29;"160 "
2821201;SKU 2821201;978;SERV
667400;SKU 667400;35;"35  "
2821202;SKU 2821202;978;SERV
2821203;SKU 2821203;978;SERV
667700;SKU 667700;29;"160 "
667800;SKU 667800;35;OTP 
668100;SKU 668100;1;"160 "
668200;SKU 668200;1;"160 "
2794902;SKU 2794902;176;OJP 
2801300;SKU 2801300;1;MUS 
2821204;SKU 2821204;978;SERV
2821205;SKU 2821205;978;SERV
2821206;SKU 2821206;978;SERV
2821207;SKU 2821207;978;SERV
2821208;SKU 2821208;978;SERV
2739521;SKU 2739521;931;SERV
2739522;SKU 2739522;931;SERV
2821209;SKU 2821209;978;SERV
2821210;SKU 2821210;978;SERV
2821211;SKU 2821211;978;SERV
2821212;SKU 2821212;978;SERV
2821213;SKU 2821213;978;SERV
2821214;SKU 2821214;978;SERV
2821215;SKU 2821215;978;SERV
2821216;SKU 2821216;978;SERV
2821217;SKU 2821217;978;SERV
2821218;SKU 2821218;978;SERV
2821219;SKU 2821219;978;SERV
2821220;SKU 2821220;978;SERV
2821223;SKU 2821223;978;SERV
2739523;SKU 2739523;931;SERV
2739524;SKU 2739524;931;SERV
2739525;SKU 2739525;931;SERV
2739526;SKU 2739526;931;SERV
2739527;SKU 2739527;931;SERV
2739530;SKU 2739530;931;SERV
255800;SKU 255800;52;"60  "
668300;SKU 668300;1;"60  "
668900;SKU 668900;1;"500 "
669000;SKU 669000;1;"500 "
669300;SKU 669300;1;CAL 
669600;SKU 669600;1;"073 "
670000;SKU 670000;403;DSG 
670200;SKU 670200;1;PAL 
670600;SKU 670600;1;"30  "
671400;SKU 671400;1;CPP 
672200;SKU 672200;1;DSG 
672600;SKU 672600;3;OTOP
672900;SKU 672900;1;COP 
673000;SKU 673000;29;EFFA
673100;SKU 673100;1;"130 "
673200;SKU 673200;100;DAG 
673400;SKU 673400;1;PAL 
673700;SKU 673700;1;"500 "
673900;SKU 673900;1;MEX 
674000;SKU 674000;1;"80  "
674100;SKU 674100;1;"80  "
674300;SKU 674300;1;"30  "
674400;SKU 674400;1;OTO 
674600;SKU 674600;1;"60  "
674700;SKU 674700;1;CAL 
674800;SKU 674800;1;"500 "
674900;SKU 674900;195;CAL 
675000;SKU 675000;1;PAL 
675100;SKU 675100;1;PAL 
675200;SKU 675200;195;PAL 
2741901;SKU 2741901;932;SERV
2741902;SKU 2741902;932;SERV
2741903;SKU 2741903;932;SERV
2741904;SKU 2741904;932;SERV
2739508;SKU 2739508;931;SERV
2739509;SKU 2739509;931;SERV
2739510;SKU 2739510;931;SERV
2739511;SKU 2739511;931;SERV
2739512;SKU 2739512;931;SERV
2739513;SKU 2739513;931;SERV
2739514;SKU 2739514;931;SERV
2739515;SKU 2739515;931;SERV
2739516;SKU 2739516;931;SERV
2739517;SKU 2739517;931;SERV
2739518;SKU 2739518;931;SERV
2739519;SKU 2739519;931;SERV
2739520;SKU 2739520;931;SERV
675900;SKU 675900;120;FBEP
676000;SKU 676000;195;OPCC
676100;SKU 676100;195;OPCC
676200;SKU 676200;195;OPCC
677200;SKU 677200;10;DAN 
677500;SKU 677500;490;FFRR
678000;SKU 678000;2;"130 "
678100;SKU 678100;1;"80  "
678700;SKU 678700;1;COP 
679700;SKU 679700;126;ROHO
679800;SKU 679800;110;OTPO
679900;SKU 679900;35;OTCU
680000;SKU 680000;1;"500 "
680100;SKU 680100;120;"500 "
680200;SKU 680200;1;"500 "
680300;SKU 680300;29;OTCU
680400;SKU 680400;29;OTCU
680500;SKU 680500;1;"500 "
680600;SKU 680600;49;JOA 
680700;SKU 680700;49;OTS 
680800;SKU 680800;99;OTS 
681000;SKU 681000;1;"160 "
681100;SKU 681100;1;ORC 
681300;SKU 681300;1;"80  "
681600;SKU 681600;1;HBE 
681800;SKU 681800;1;"130 "
681900;SKU 681900;1;PAL 
682100;SKU 682100;50;OJS 
682200;SKU 682200;431;"60  "
682300;SKU 682300;706;DAN 
682400;SKU 682400;1;"80  "
682500;SKU 682500;1;"80  "
682600;SKU 682600;26;"33  "
2741905;SKU 2741905;932;SERV
682700;SKU 682700;762;"60  "
682800;SKU 682800;1;"500 "
240200;SKU 240200;1;"500 "
296900;SKU 296900;1;"130 "
384000;SKU 384000;195;OPJ 
682900;SKU 682900;10;DAN 
683100;SKU 683100;105;"333 "
683200;SKU 683200;105;"333 "
683300;SKU 683300;1;"150 "
683400;SKU 683400;1;"80  "
683500;SKU 683500;1;"66  "
683600;SKU 683600;596;"66  "
683700;SKU 683700;1;HBE 
683800;SKU 683800;1;"80  "
683900;SKU 683900;1;"70  "
684000;SKU 684000;2;"130 "
684100;SKU 684100;2;"130 "
684200;SKU 684200;1;"20  "
685000;SKU 685000;1;"160 "
685900;SKU 685900;37;OFT 
686300;SKU 686300;1;"60  "
686500;SKU 686500;1;"80  "
686600;SKU 686600;1;"130 "
686700;SKU 686700;1;"60  "
686800;SKU 686800;7;"29  "
686900;SKU 686900;21;CB  
687100;SKU 687100;1;"60  "
687200;SKU 687200;1;"80  "
687300;SKU 687300;1;"80  "
687400;SKU 687400;10;DAN 
2704113;SKU 2704113;913;SERV
687600;SKU 687600;1;"150 "
688200;SKU 688200;1;DTLS
688300;SKU 688300;105;"333 "
2818600;SKU 2818600;974;"028 "
688400;SKU 688400;1;"150 "
688500;SKU 688500;76;AP  
688700;SKU 688700;1;"31  "
688900;SKU 688900;341;ELE 
689600;SKU 689600;1;"160 "
2816805;SKU 2816805;283;"18  "
395500;SKU 395500;1;"500 "
440400;SKU 440400;1;"500 "
689900;SKU 689900;2;"130 "
690000;SKU 690000;2;"130 "
690100;SKU 690100;2;"130 "
690200;SKU 690200;217;EDC 
690400;SKU 690400;3;OFT 
690500;SKU 690500;791;"80  "
690700;SKU 690700;499;"72  "
690800;SKU 690800;403;DSA 
690900;SKU 690900;1;"90  "
691000;SKU 691000;396;"60  "
691600;SKU 691600;1;"160 "
691700;SKU 691700;1;"150 "
691800;SKU 691800;1;EP  
692000;SKU 692000;16;"500 "
692500;SKU 692500;1;"500 "
692600;SKU 692600;1;"500 "
692800;SKU 692800;29;OTCU
692900;SKU 692900;1;"500 "
693000;SKU 693000;1;"500 "
693200;SKU 693200;1;"500 "
694000;SKU 694000;1;"60  "
694300;SKU 694300;828;"30  "
694700;SKU 694700;1;PAL 
694900;SKU 694900;50;OJS 
695200;SKU 695200;2;"130 "
2818601;SKU 2818601;974;"028 "
2741906;SKU 2741906;932;SERV
2741907;SKU 2741907;932;SERV
2740007;SKU 2740007;931;SERV
2740008;SKU 2740008;931;SERV
2740009;SKU 2740009;931;SERV
2740010;SKU 2740010;931;SERV
2740011;SKU 2740011;931;SERV
2740012;SKU 2740012;931;SERV
2740013;SKU 2740013;931;SERV
2740014;SKU 2740014;931;SERV
2740015;SKU 2740015;931;SERV
2740016;SKU 2740016;931;SERV
2740017;SKU 2740017;931;SERV
2740018;SKU 2740018;931;SERV
2740019;SKU 2740019;931;SERV
2740020;SKU 2740020;931;SERV
2740023;SKU 2740023;931;SERV
2740001;SKU 2740001;931;SERV
2740002;SKU 2740002;931;SERV
2740003;SKU 2740003;931;SERV
2740004;SKU 2740004;931;SERV
2740005;SKU 2740005;931;SERV
2740006;SKU 2740006;931;SERV
2741908;SKU 2741908;932;SERV
2741909;SKU 2741909;932;SERV
2741910;SKU 2741910;932;SERV
2741911;SKU 2741911;932;SERV
2741912;SKU 2741912;932;SERV
2741913;SKU 2741913;932;SERV
2741914;SKU 2741914;932;SERV
2741915;SKU 2741915;932;SERV
2741916;SKU 2741916;932;SERV
2741917;SKU 2741917;932;SERV
2741918;SKU 2741918;932;SERV
2741919;SKU 2741919;932;SERV
2741920;SKU 2741920;932;SERV
2741923;SKU 2741923;932;SERV
2818602;SKU 2818602;974;"028 "
2766301;SKU 2766301;946;SERV
246600;SKU 246600;1;CPP 
404400;SKU 404400;778;DSL 
695300;SKU 695300;1;"13  "
695400;SKU 695400;1;"130 "
695500;SKU 695500;80;"150 "
695700;SKU 695700;1;"500 "
695900;SKU 695900;1;"500 "
696000;SKU 696000;1;"60  "
696100;SKU 696100;1;"90  "
696200;SKU 696200;1;TDV 
696300;SKU 696300;50;"25  "
696400;SKU 696400;1;"150 "
696700;SKU 696700;1;"30  "
696800;SKU 696800;1;"90  "
696900;SKU 696900;1;"60  "
697000;SKU 697000;1;"60  "
697100;SKU 697100;26;"333 "
697200;SKU 697200;1;"14  "
697400;SKU 697400;1;"30  "
697500;SKU 697500;2;"130 "
697800;SKU 697800;72;"150 "
711100;SKU 711100;110;"90  "
711300;SKU 711300;22;FFHT
711500;SKU 711500;216;MPP 
711501;SKU 711501;216;MPP 
711700;SKU 711700;16;"80  "
711800;SKU 711800;16;"80  "
711900;SKU 711900;1;"80  "
718400;SKU 718400;1;"80  "
728200;SKU 728200;1;"60  "
728300;SKU 728300;474;DLB 
2818700;SKU 2818700;974;"028 "
416300;SKU 416300;1;"500 "
2818701;SKU 2818701;974;"028 "
2743201;SKU 2743201;932;SERV
2743202;SKU 2743202;932;SERV
2743203;SKU 2743203;932;SERV
2743204;SKU 2743204;932;SERV
2743205;SKU 2743205;932;SERV
2743206;SKU 2743206;932;SERV
2743207;SKU 2743207;932;SERV
2743208;SKU 2743208;932;SERV
2743209;SKU 2743209;932;SERV
2743210;SKU 2743210;932;SERV
2743211;SKU 2743211;932;SERV
2743212;SKU 2743212;932;SERV
2743213;SKU 2743213;932;SERV
2743214;SKU 2743214;932;SERV
2743215;SKU 2743215;932;SERV
2743216;SKU 2743216;932;SERV
2743217;SKU 2743217;932;SERV
2743218;SKU 2743218;932;SERV
2743219;SKU 2743219;932;SERV
2743220;SKU 2743220;932;SERV
2743223;SKU 2743223;932;SERV
728400;SKU 728400;1;"60  "
728500;SKU 728500;1;"60  "
728600;SKU 728600;1;"60  "
728700;SKU 728700;1;"500 "
731700;SKU 731700;1;"130 "
731800;SKU 731800;105;CRPE
731900;SKU 731900;76;CBE 
732000;SKU 732000;1;"150 "
732100;SKU 732100;1;NEG 
732200;SKU 732200;1;NEG 
732300;SKU 732300;1;NEG 
732700;SKU 732700;1;"500 "
732900;SKU 732900;195;COP 
